AppID,游戏名称,类型
000000,1000000000 Spells,Game
10,10秒忍者X,Game
20,2064：存储大战,Game
30,3030死亡之战 终极版,Game
40,4089：幽灵附身,Game
50,50,Game
60,60秒！,Game
70,70 Seconds Survival,Game
80,80 Days,Game
100,1000 Deaths 千重命陨,Game
130,App Id 65130,Game
211,2112TD: Tower Defense Survival,Game
215,Earth 2150 Trilogy,Game
218,2184,Game
240,App Id 24000,Game
280,半条命：起源,Game
300,300 Dwarves,Game
320,Late Night 1320,Game
340,ValveTestApp93402,game
360,360 No Scope!,Game
380,ValveTestApp113800,Game
400,4004-022,Game
420,420 Button Clicker,Game
440,ValveTestApp1452440,game
500,500 Years Act 1,Game
513,App Id 65130,Game
550,App Id 99550,Game
563,ValveTestApp1915631,game
570,App Id 99570,game
620,ValveTestApp19620,game
629,Fake Game 629350,Game
730,反恐精英2,Game
740,ValveTestApp437400,Game
1200,红色管弦乐队：东线41-45,Game
1220,RedOrchestra SDK Beta,Tool
1230,Mare Nostrum,Game
1240,ValveTestApp2211240,game
1250,杀戮空间,Game
1280,红色管弦乐队：至暗之时,Game
1290,VR大宋皇城,Game
1700,B1700,Game
1900,本源行者1900,Game
1930,Chicago 1930,Game
2100,2100,Game
2130,Return to Earth 2130,Game
2600,吸血鬼：避世血族,Game
2620,使命召唤,Game
2630,使命召唤2,Game
2640,使命召唤：联合进攻,Game
2800,星际大反攻2：危机,Game
2810,X3：重聚,Game
2820,X3：地球人冲突,Game
2840,X: Beyond the Frontier,Game
2850,X-Tension,Game
2870,X重生,Game
3020,狂野西部,Game
3170,国王的恩赐：戎装公主,Game
3330,祖玛,Game
3390,吞食鱼2,game
3590,植物大战僵尸：年度版,Game
3700,狙击精英,Game
3720,Star Epica 3720,Game
3800,ValveTestApp113800,Game
3820,吸血莱恩2,Game
3830,疯狂世界,Game
3910,文明3：完全版,Game
3980,文明城市：罗马,Game
4000,App Id 24000,Game
4500,潜行者：切尔诺贝利阴影,Game
4560,英雄连：遗产版,Game
4580,战锤40K：战争黎明-黑暗十字军,Game
4700,TestApp204700,Game
4730,OutRun 2006: Coast 2 Coast,game
4760,全面战争：罗马 合集版,Game
4770,全面战争：罗马 - 亚历山大大帝,Game
4850,哥萨克：重返战场,Game
4920,物竞天择2,Game
6200,鬼魂大师,game
6550,鬼泣3 特别版,Game
6810,盟军敢死队：使命召唤,Game
6830,盟军敢死队2：勇往直前,Game
6840,盟军敢死队3：目标柏林,Game
6860,杀手4：血钱,Game
6880,正当防卫,Game
6980,神偷3：致命阴影,Game
7000,古墓丽影7传奇,Game
7210,逃亡：冒险之路,Game
7220,逃亡2：海龟之梦,Game
7510,鬼刃,Game
7520,两个世界2,Game
7530,两个世界2：城堡防御,Game
7620,铁路大亨2白金版,Game
7670,生化奇兵,Game
7940,使命召唤4：现代战争,Game
8000,古墓丽影十周年纪念版,Game
8140,古墓丽影8：地下世界,Game
8190,正当防卫2,Game
8350,Strong Bad Episode 2: Strong Badia the Free,Game
8360,Strong Bad Episode 3: Baddest of the Bands,Game
8370,Strong Bad Episode 4: Dangeresque 3,Game
8380,Strong Bad Episode 5: 8-Bit Is Enough,Game
8400,几何战争,Game
8600,世界房车锦标赛 07,Game
8850,生化奇兵2,Game
8870,生化奇兵：无限 完全版,Game
8930,58930,game
8980,58980,game
8990,58990,game
9200,狂怒,Game
9310,战锤40K：战争黎明-冬季攻势,Game
9340,ValveTestApp93402,game
9450,战锤40K：战争黎明-灵魂风暴,Game
9480,黑道圣徒2,Game
9710,赏金奇兵2：库珀复仇,Game
10090,使命召唤：战争世界,Game
10150,虐杀原形,Game
10180,使命召唤6：现代战争2(2009),Game
10190,使命召唤6：现代战争2,Game
10220,喋血街头3,Game
10270,圣战群英传3：重生,Game
10500,全面战争：帝国,Game
10680,异形大战铁血战士,Game
11280,企鹅竞技场：塞德纳的世界,Game
11450,霸王,Game
12140,马克思 佩恩,Game
12150,马克思佩恩2：马克思佩恩的堕落,Game
12200,恶霸鲁尼：奖学金版,Game
12210,侠盗猎车手4：完整版,Game
12240,侠盗猎车手：罪恶都市(macOS),Game
12250,Grand Theft Auto: San Andreas,Game
12710,霸王之地狱重生,Game
12750,GRID,Game
12810,霸王2,Game
13560,细胞分裂,Game
13570,细胞分裂3：混沌理论,Game
13580,细胞分裂4：双重间谍,Game
15170,魔法门之英雄无敌5,Game
15370,魔法门之英雄无敌5：东方部落,Game
15380,魔法门之英雄无敌5：命运之锤,Game
15560,坠楼惊魂,Game
15620,战锤40K：战争黎明2,Game
15700,奇异世界：阿比逃亡记,Game
16450,极度恐慌2：起源计划,Game
16700,Stronghold Crusader Extreme HD,Game
16810,文明4：殖民统治,Game
16830,Sid Meier's Civilization V SDK,Tool
16900,地面部队,Game
17340,Crysis Wars,game
17390,孢子,Game
17410,镜之边缘,Game
17440,孢子：美美丑丑扩展包,Game
17480,《命令与征服™：红色警戒 3》,Game
17710,核子黎明,Game
18470,赫多兰朵,Game
19000,寂静岭：归乡,Game
19680,ValveTestApp1968030,game
19900,孤岛惊魂2,Game
19960,Heroes of Might & Magic V: Hammers of Fate Editor,Tool
19980,波斯王子,Game
20500,红色派系：游击战队,Game
20540,英雄连：勇气传说,Game
20570,战锤40K：战争黎明2-混沌崛起,Game
20900,巫师加强版（导演剪辑）,Game
20920,巫师2：国王刺客加强版,Game
20930,The Witcher 2: Bonus Content,Tool
21000,乐高：蝙蝠侠,Game
21090,极度恐慌,game
21100,极度恐慌3,Game
21130,乐高哈利波特：第1-4年,Game
21660,街头霸王4,Game
21680,希魔复活复刻版,Game
21690,生化危机5,Game
21780,横冲直撞之平行线 ,Game
21980,狂野西部：生死同盟,Game
22000,粘粘世界,Game
22100,骑马与砍杀,Game
22120,半影：黑色瘟疫,Game
22130,Hearts of Iron II: Complete,game
22140,半影：安魂曲,Game
22180,半影：序曲,Game
22300,辐射3,Game
22320,上古卷轴3：晨风,Game
22330,上古卷轴4：湮没,Game
22350,边缘战士,Game
22370,辐射3：年度版,Game
22380,辐射：新维加斯,Game
22480,GECK - New Vegas Edition,Tool
22490,Fallout: New Vegas PCR,Game
22600,百战天虫：重装上阵,Game
22610,异形繁殖：冲击,Game
22650,异形繁殖2：突击,Game
23490,海岛大亨3,Game
24010,模拟列车2022,Game
24240,收获日：掠夺,Game
24670,模拟火车12,Game
24720,孢子：银河冒险,Game
24780,模拟城市4 豪华版,Game
24820,The Godfather,game
25000,复仇格斗兔,Game
25830,荣誉骑士,game
25890,Hearts of Iron III,Game
25900,国王的恩赐：传奇,Game
28000,凯恩与林奇2：伏署,Game
29130,音乐盒,Game
29180,星噬,Game
31170,猴岛传奇完整包,Game
31180,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay ,Game
31190,Tales of Monkey Island: Chapter 3 - Lair of the Leviathan ,Game
31200,Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood ,Game
31210,Tales of Monkey Island: Chapter 5 - Rise of the Pirate God,Game
31280,怪诞扑克夜,game
32440,乐高星球大战：完整的传奇,Game
32470,星球大战：帝国战争黄金版,Game
32510,乐高星球大战3：克隆战争,Game
33100,孤胆枪手,Game
33110,孤胆枪手：再度来袭,Game
33120,孤单枪手2：重装上阵,Game
33130,僵尸枪手,Game
33220,细胞分裂：断罪 豪华版,Game
33770,龙歌：时间之河,Game
33780,龙歌：菲利森的秘密,Game
33900,武装突袭2,Game
33905,ARMA 2 Dedicated Server,Tool
33910,Arma 2,Game
33930,武装突袭2：箭头行动,Game
33935,Arma 2: Operation Arrowhead - Dedicated Server,Tool
34030,全面战争：拿破仑,Game
34120,Aliens vs Predator Dedicated Server,Tool
34270,SEGA Mega Drive & Genesis Classics,Game
34330,全面战争：幕府将军2,Game
34420,十三世纪 黄金版,Game
34830,狙击手：幽灵战士,Game
34850,Sniper: Ghost Warrior - Dedicated Server,Tool
34870,狙击手：幽灵战士2,Game
34900,邪恶老鼠：老鼠复仇,Game
35000,迷你忍者,Game
35130,劳拉与光之守护者,Game
35140,蝙蝠侠：阿卡姆疯人院年度版,Game
35420,Killing Floor Mod: Defence Alliance 2,Game
35700,三位一体,Game
35720,三位一体2：完整故事,Game
38400,辐射,Game
38410,辐射2,Game
38420,辐射战略版：钢铁兄弟会,Game
38600,仙女纸牌,Game
39140,最终幻想7,Game
39150,最终幻想8,Game
39160,地牢围攻3,Game
39190,地牢围攻,Game
39200,地牢围攻2,Game
39210,最终幻想14,Game
39500,哥特王朝3,Game
39510,哥特王朝2黄金版,Game
