Appid,游戏名称
000000,1000000000 Spells
10,反恐精英
20,军团要塞：经典版
30,胜利之日
40,死亡竞技：经典版
50,半条命：针锋相对
60,跳跃袭击
70,半条命
80,反恐精英：零点行动
100,Counter-Strike: Condition Zero Deleted Scenes
130,半条命：蓝色沸点
211,Source SDK
215,Source SDK Base 2006
218,Source SDK Base 2007
220,半条命2
240,反恐精英：起源
280,半条命：起源
300,胜利之日：起源
320,半条命2：死亡竞赛
340,半条命2：失落的海岸线
360,半条命死亡竞技：起源
380,半条命2：第一章
400,传送门
420,半条命2：第二章
440,军团要塞2
500,求生之路
513,Left 4 Dead Authoring Tools
550,求生之路2
563,Left 4 Dead 2 Authoring Tools
564,Left 4 Dead 2 Add-on Support
570,刀塔2
620,传送门2
629,Portal 2 Authoring Tools
730,反恐精英2
740,Counter-Strike Global Offensive - Dedicated Server
745,Counter-Strike: Global Offensive - SDK
1200,红色管弦乐队：东线41-45
1220,RedOrchestra SDK Beta
1230,Mare Nostrum
1240,Mare Nostrum Dedicated Server
1250,杀戮空间
1260,Killing Floor SDK
1280,红色管弦乐队：至暗之时
1290,Darkest Hour: Europe '44-'45 Dedicated Server
1700,地城英雄志
1900,地球2160
1930,两个世界：史诗版
2100,魔法门之黑暗弥赛亚
2130,魔法门之黑暗弥赛亚
2600,吸血鬼：避世血族
2620,使命召唤
2630,使命召唤2
2640,使命召唤：联合进攻
2800,星际大反攻2：危机
2810,X3：重聚
2820,X3：地球人冲突
2840,X: Beyond the Frontier
2850,X-Tension
2870,X重生
3020,狂野西部
3170,国王的恩赐：戎装公主
3330,祖玛
3390,吞食鱼2
3590,植物大战僵尸：年度版
3700,狙击精英
3720,邪恶天才
3800,ValveTestApp113800
3820,吸血莱恩2
3830,疯狂世界
3840,Psychonauts Demo
3910,文明3：完全版
3980,文明城市：罗马
4000,盖瑞模组
4500,潜行者：切尔诺贝利阴影
4560,英雄连：遗产版
4580,战锤40K：战争黎明-黑暗十字军
4700,全面战争：中世纪2
4730,OutRun 2006: Coast 2 Coast
4760,全面战争：罗马 合集版
4770,全面战争：罗马 - 亚历山大大帝
4780,全面战争王国：中世纪2
4850,哥萨克：重返战场
4920,物竞天择2
